,,,Premature age-adjusted mortality,,,,Child mortality,,,,Infant mortality,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Drug overdose deaths - modeled,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Health care costs,Other primary care providers^,,Previous Other primary care providers data^,,Median household income,,,Children eligible for free lunch,Residential segregation - black/white,"Residential segregation - 
non-white/white",Homicides,,,Demographics,,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
06019,California,Fresno,8749,339,332,347,655,59,54,63,763,7,6,7,14,14,14,13,13,13,11,11,12,1616,217,155600,17,50729,5,297,10,14.1-16.0,909,14,13,15,30,30,31,152523,27,26,28,19908,7,6,8,8608,58,1719:1,59,1692:1,43338,41158,45518,69,50,29,7,7,8,965974,28.9,11.2,45702,4.7,28971,3.0,103179,10.7,2509,0.3,501771,51.9,298675,30.9,110063,12.7,12.3,13.0,50.1,100537,10.8,
06021,California,Glenn,313,349,310,389,20,65,40,100,,,,,13,13,14,13,12,13,11,11,11,14,62,4340,16,1501,5,17,20,>20,30,15,10,22,32,31,33,4600,28,25,31,786,10,8,12,7801,32,3106:1,32,3106:1,43755,38742,48768,54,31,14,,,,27955,26.7,14.9,206,0.7,822,2.9,833,3.0,49,0.2,11291,40.4,14829,53.0,2374,9.1,7.6,10.7,49.6,11494,40.9,
06023,California,Humboldt,1868,407,388,427,62,58,45,75,70,6,5,8,12,12,13,12,12,13,9,9,10,135,117,25420,19,8754,7,132,33,>20,173,18,16,21,31,31,32,21268,25,22,27,2358,9,7,11,7081,82,1226:1,83,1204:1,40581,37512,43650,40,49,28,4,3,6,134809,19.5,15.4,1586,1.2,8360,6.2,3712,2.8,419,0.3,14595,10.8,101827,75.5,2216,1.7,1.4,2.1,50.0,40062,29.8,
06025,California,Imperial,1381,284,269,299,81,40,32,49,89,4,3,5,16,15,16,13,13,14,13,13,14,231,165,30420,17,14044,8,76,14,10.1-12.0,144,12,10,14,34,33,35,27367,28,26,30,4808,9,7,11,8646,36,2755:1,37,2714:1,38737,34800,42674,66,48,19,3,2,4,179091,28.5,12.0,4546,2.5,4665,2.6,4199,2.3,368,0.2,147349,82.3,22112,12.3,33652,20.7,,,48.9,30399,17.4,
06027,California,Inyo,227,309,266,351,,,,,,,,,11,11,11,11,11,11,11,10,11,14,89,2730,15,1999,11,15,27,14.1-16.0,17,13,8,21,30,29,31,2270,21,19,24,414,10,8,12,7580,92,1083:1,92,1083:1,49267,43333,55201,43,63,30,,,,18410,20.6,21.4,148,0.8,2352,12.8,293,1.6,25,0.1,3841,20.9,11838,64.3,488,2.8,1.6,4.0,49.9,8611,46.4,
06029,California,Kern,8813,385,377,393,554,54,50,59,673,6,6,7,14,13,14,13,12,13,10,10,11,1766,264,128270,15,45375,5,553,21,>20,853,15,14,16,34,34,35,135724,27,26,29,20109,8,6,9,9685,43,2332:1,43,2302:1,47451,44860,50042,61,47,26,8,8,9,874589,29.4,9.9,46179,5.3,23078,2.6,43966,5.0,2364,0.3,450826,51.5,316300,36.2,86631,11.0,10.7,11.4,48.7,85693,10.2,
06031,California,Kings,1293,338,319,357,87,52,41,64,107,6,5,7,14,14,14,13,12,13,10,10,11,223,185,24550,16,8629,6,55,12,10.1-12.0,160,15,13,17,35,35,36,19409,25,22,27,3509,8,6,10,8737,53,1878:1,54,1855:1,44490,40251,48729,58,43,25,5,4,7,150269,27.5,9.1,9283,6.2,4510,3.0,6653,4.4,504,0.3,79928,53.2,50598,33.7,14941,10.7,9.9,11.6,44.8,16601,10.9,
06033,California,Lake,1287,501,472,531,31,58,40,83,27,5,4,8,13,13,14,13,13,13,12,11,12,78,143,12690,20,5001,8,88,46,>20,111,25,20,29,33,32,34,9141,24,22,26,1295,10,7,12,8220,61,1646:1,62,1605:1,36333,32500,40166,62,60,30,8,6,12,64184,20.4,20.6,1181,1.8,2615,4.1,895,1.4,166,0.3,12233,19.1,46246,72.1,1921,3.2,2.4,3.9,50.0,21408,33.1,
06035,California,Lassen,367,356,319,393,10,42,20,77,,,,,11,11,11,11,10,11,8,8,9,42,142,6040,18,10371,30,31,32,>20,36,15,11,21,32,31,33,2209,15,13,17,391,7,5,8,8587,63,1587:1,66,1512:1,49995,44723,55267,,48,31,6,3,9,31749,17.0,12.5,2682,8.4,1331,4.2,453,1.4,198,0.6,5864,18.5,20950,66.0,632,2.0,1.3,2.6,36.3,24610,70.5,
06037,California,Los Angeles,76580,263,261,265,3745,40,38,41,4644,5,5,5,13,12,13,11,11,11,11,11,11,45590,550,1452130,15,139369,1,2232,7,12.1-14.0,5056,7,7,8,35,35,36,1885666,29,29,30,204554,8,8,9,11512,42,2387:1,43,2331:1,55686,55065,56307,52,59,36,7,6,7,10116705,22.8,12.2,826418,8.2,149380,1.5,1494490,14.8,37956,0.4,4897745,48.4,2714194,26.8,1396883,15.0,,,50.7,59424,0.6,
